Position,Track Name,Artist,date,region,id
9,Perdóname,FMK,6/15/2018,ar,4Uy3Q3h0VbWWyyiB1MmRoP
10,Freeee (Ghost Town Pt. 2),KIDS SEE GHOSTS,6/15/2018,ar,7GRTrWsP3yo2Fx8umJfA1X
11,Sadboys,Moonkey,6/15/2018,ar,2L9v4NHyf6S64bhQwavKbL
12,Midsummer Madness,88rising,6/15/2018,ar,0wFmawqundY8rOn9sZUqA6
13,Sin Pijama,Becky G,6/15/2018,ar,2ijef6ni2amuunRoKTlgww
14,Kids See Ghosts,KIDS SEE GHOSTS,6/15/2018,ar,2I3dW2dCBZAJGj5X21E53k
15,Cudi Montage,KIDS SEE GHOSTS,6/15/2018,ar,4kUZvXB3LC3an3HX6h0s17
16,FAKE LOVE,BTS,6/15/2018,ar,3aW0ds4A4tSQDIp75FqWTo
17,Untitled Original 11383,John Coltrane,6/15/2018,ar,4Mxv2NpWywFrS477J9dIuC
18,4th Dimension,KIDS SEE GHOSTS,6/15/2018,ar,6JyEh4kl9DLwmSAoNDRn5b
19,RAMPAGE,GRAVEDGR,6/15/2018,ar,37hs3QImrFsiEZF2D92QGe
20,Girls Like You (feat. Cardi B),Maroon 5,6/15/2018,ar,7fa9MBXhVfQ8P8Df9OEbD8
21,El Dia Que Me Quieras,Poli y Prietto,6/15/2018,ar,2rGOwCxYTNWjIBn4og30qb
22,Mi Cama,Karol G,6/15/2018,ar,7sFYVcKSb24qg0dAkqLEFj
23,What If,Johnny Orlando,6/15/2018,ar,4v7DgEMw6EvYyuQ4eWFD9l
24,Toda - Remix,Alex Rose,6/15/2018,ar,7nD2JPaxIKUdxd2UWgnaGL
25,Guitarras Lloren Guitarras,Poli y Prietto,6/15/2018,ar,5j6J5BwMjK4ngJiWP2r49P
26,Get It,PRISTIN V,6/15/2018,ar,6sOBI67H8F3S1cNS6CM5p7
27,Perfidia,Poli y Prietto,6/15/2018,ar,1Fk9eJdkNG351R9R9M2l5r
28,"The Island, Pt. 1 (Dawn) - Skrillex Remix",Pendulum,6/15/2018,ar,24hYr62Cz2iA3OOef8mykI
29,Historia de un Amor,Poli y Prietto,6/15/2018,ar,3rWpcLzUr5PLozVWNo85Ss
30,Taste (feat. Offset),Tyga,6/15/2018,ar,5IaHrVsrferBYDm0bDyABy
31,Lucid Dreams,Juice WRLD,6/15/2018,ar,0X8DcetL926BYiPJYstJTc
32,Dura - Remix,Daddy Yankee,6/15/2018,ar,6U2NuJILEOEpW2tVCuqKHb
33,Da Vinci,Aazar,6/15/2018,ar,73nmuIBhNPu54aC6wWBxpK
34,New Light,John Mayer,6/15/2018,ar,3bH4HzoZZFq8UpZmI2AMgV
35,Toda Remix,Tomy DJ,6/15/2018,ar,3ARlMyXGNkXoujyECggZFR
36,United By Love,Natalia Oreiro,6/15/2018,ar,2tfZmwWj1joy1iCE5uyMcz
37,I Like It,Cardi B,6/15/2018,ar,58q2HKrzhC3ozto2nDdN4z
38,No Me Acuerdo,Thalía,6/15/2018,ar,00EPIEnX1JFjff8sC6bccd
39,Cigarrillos,Poli y Prietto,6/15/2018,ar,2fudQXEKanMy9FFqxzd29C
40,Pa Dentro,Juanes,6/15/2018,ar,7flNdUykV5LYDRv8wQDbsx
41,Ando Buscando,Agustín Casanova,6/15/2018,ar,24k4QxSAavX21LJbKnKhJI
42,NIGHTS LIKE THESE,Ne-Yo,6/15/2018,ar,5wV6xSCqRD8kqV6daq7S7w
43,Como Mirarte,Juanse Laverde,6/15/2018,ar,6rTPGpRB9jbTo9FPlmR6J7
44,Live It Up - Official Song 2018 FIFA World Cup Russia,Nicky Jam,6/15/2018,ar,4DnHUy01jEA4b5ydC3HgsT
45,Me Atrapó,Javier Ramirez,6/15/2018,ar,0SPTQh7DWNo5RDyoXr8bOm
46,62,KAKTOV,6/15/2018,ar,2bgE1u5SpnVEHXV2mJLX0l
1,My Story,Loren Gray,8/15/2018,ar,7A6d1s5kEY08IXBWwbqWJ1
2,Cuando Te Besé,Becky G,8/15/2018,ar,2XXMDz7SPZ4mSFN1PXfHUy
3,Mala Mía,Maluma,8/15/2018,ar,62o8KoI44JfN7aYxgTnPvh
4,Play,Dave Grohl,8/15/2018,ar,3ATAV8kiC5wg7U0eSMHlQp
5,El Extraño del Pelo Largo,La Joven Guardia,8/15/2018,ar,684mSIt8bHBYGgIQjFsERt
6,Piñata,El Cuis,8/15/2018,ar,1yyDcX98CCjWGtjkJGnQI3
7,Beautiful (feat. Camila Cabello),Bazzi,8/15/2018,ar,4VUwkH455At9kENOfzTqmF
8,No Quiero Más - Remix,Luck Ra,8/15/2018,ar,4gdZVkGqbi4Xxq2uuUpfjo
9,Solos los Dos,Justo,8/15/2018,ar,6BTp82plsn9fIYX7QXxxpB
10,Cara de Culo,Soy Rada and the Colibriquis,8/15/2018,ar,23RjOxMof84XNGPNohiXK0
11,Mi Cama - Remix,Karol G,8/15/2018,ar,38QmUDpkoYlNbMKvpvAsrE
12,No Brainer,DJ Khaled,8/15/2018,ar,5WvAo7DNuPRmk4APhdPzi8
13,In My Mind,Dynoro,8/15/2018,ar,0E9ZjEAyAwOXZ7wJC0PD33
14,Vaina Loca,Ozuna,8/15/2018,ar,1s2B5cndbqK8rPJEIcKJRQ
15,Quero Que Tu Vá,Ananda,8/15/2018,ar,7ppLcVgxpoWAhAa2c0CN3b
16,Tráeme la Noche (Bring on the Night) (with Andy Summers),Gustavo Cerati,8/15/2018,ar,0wMditvMpFP9aYzW3kDWnw
17,¿No Te Sobra una Moneda?,Billy Bond y La Pesada,8/15/2018,ar,0bpG2lrCJZFhaJ71kknA1m
18,SICKO MODE,Travis Scott,8/15/2018,ar,2xLMifQCjDGFmkHkpNLD9h
19,Badman - Edit,Idris Elba,8/15/2018,ar,2ThOVPmAi9HcMmRRGZ2RUn
20,Clandestino,Shakira,8/15/2018,ar,7DrluKkTviBwCc8AV3VGmf
21,Libres,Mora Navarro,8/15/2018,ar,3sesl63eLYO3k0TTjhQGFm
22,La Casa del Sol Naciente,Palito Ortega,8/15/2018,ar,5Lr63HR0xSCfAbWYIUuCUR
23,Eastside (with Halsey & Khalid),benny blanco,8/15/2018,ar,0d2iYfpKoM0QCKvcLCkBao
24,Quiero Volver,TINI,8/15/2018,ar,1jcAZRfufvi67KWnwRmizE
25,La Cintura (feat. Flo Rida & TINI) - Remix,Alvaro Soler,8/15/2018,ar,56gH0zGe3SP9SGNoQ2pWwn
26,Electroshock (feat. Gustavo Cerati),Telefunka,8/15/2018,ar,3UZu0gavAiGVmomrKDDJlJ
27,Caliente (feat. Pabllo Vittar),Lali,8/15/2018,ar,75V0RdaCFKsQZX91mI9AD3
28,When I Kissed The Teacher,Lily James,8/15/2018,ar,1WOBzx0R3hyphrI1AUv4Zu
29,Epa Wei,Danny Ocean,8/15/2018,ar,2QmsKag0YaqhAbpR9Nwmpn
30,No Me Llores,Duki,8/15/2018,ar,4DNzemGNnckcJSr8DVk8Uj
31,Sin Querer Queriendo (feat. Mau y Ricky),Lali,8/15/2018,ar,5rUNrHC5b0oYanaw370Ncz
32,Crocante,El Cuis,8/15/2018,ar,03i9sX4THYKHbWodlUcUNh
33,Alcohol,Tobi,8/15/2018,ar,14NU8OfsTe5ppa04EAESUB
34,"Waterloo - From ""Mamma Mia! Here We Go Again""",Hugh Skinner,8/15/2018,ar,37RKadHJqPuVzlM0tDBC3N
35,Taking A Walk,Trippie Redd,8/15/2018,ar,4mHgYpuGHu99Mw69E83CP2
