Position,Track Name,Artist,Streams,date,region,id,uri,happiness,energy,danceability,loudness,speechiness,instrumentalness
70,Una Lady Como Tú,Manuel Turizo,2264,6/9/2017,uy,7MHN1aCFtLXjownGhvEQlF,spotify:track:7MHN1aCFtLXjownGhvEQlF,,,,,,
154,Dont You Feel It,Sub Focus,2263,5/12/2017,at,0E7IEEODbRcopBn7sGJuor,spotify:track:0E7IEEODbRcopBn7sGJuor,,,,,,
4,Galway Girl,Ed Sheeran,2263,3/3/2017,bg,0afhq8XCExXpqazXczTSve,spotify:track:0afhq8XCExXpqazXczTSve,,,,,,
138,Ya Me Enteré (feat. Nicky Jam) - Urban Version,Reik,2263,9/1/2017,ec,2SSYqDX8KTgy01NlqtUo0F,spotify:track:2SSYqDX8KTgy01NlqtUo0F,,,,,,
61,New Rules,Dua Lipa,2263,8/4/2017,pa,2ekn2ttSfGqwhhate0LSR0,spotify:track:2ekn2ttSfGqwhhate0LSR0,,,,,,
62,Imitadora,Romeo Santos,2263,10/27/2017,py,6r46lnXFbE9fr2d3KNaGbe,spotify:track:6r46lnXFbE9fr2d3KNaGbe,,,,,,
197,Vacaciones,Wisin,2263,8/4/2017,pt,3dQDid3IUNhZy1OehIfYfE,spotify:track:3dQDid3IUNhZy1OehIfYfE,,,,,,
106,Boyfriends,Marco Wagner,2262,1/6/2017,at,2tUxTQSGGteM7HljpqWU6J,spotify:track:2tUxTQSGGteM7HljpqWU6J,,,,,,
89,Legendary,Welshly Arms,2262,9/1/2017,cz,5ysL31dJXdNK1OCI5Hlqe7,spotify:track:5ysL31dJXdNK1OCI5Hlqe7,,,,,,
162,Ando buscando (feat. Piso 21),Carlos Baute,2262,11/24/2017,ec,7BwJtE8KSbCQKOCTIAY3jX,spotify:track:7BwJtE8KSbCQKOCTIAY3jX,,,,,,
35,Don't Wanna Know,Maroon 5,2262,3/3/2017,sv,5MFzQMkrl1FOOng9tq6R9r,spotify:track:5MFzQMkrl1FOOng9tq6R9r,,,,,,
67,Don't Wanna Know,Maroon 5,2262,5/12/2017,gt,5MFzQMkrl1FOOng9tq6R9r,spotify:track:5MFzQMkrl1FOOng9tq6R9r,,,,,,
29,Dusk Till Dawn - Radio Edit,ZAYN,2262,11/24/2017,is,1j4kHkkpqZRBwE0A4CN4Yv,spotify:track:1j4kHkkpqZRBwE0A4CN4Yv,,,,,,
161,Lean On (feat. MØ & DJ Snake),Major Lazer,2262,4/14/2017,pt,4WjH9Bzt3kx7z8kl0awxh4,spotify:track:4WjH9Bzt3kx7z8kl0awxh4,,,,,,
29,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,2261,1/6/2017,bo,17Fd6Yb7mSbinKG8LoWfFl,spotify:track:17Fd6Yb7mSbinKG8LoWfFl,,,,,,
60,Reggaetón Lento (Remix),CNCO,2261,9/1/2017,hu,3zoYkqS4y2BsGVShPL2nTE,spotify:track:3zoYkqS4y2BsGVShPL2nTE,,,,,,
