Position,Track Name,Artist,Streams,date,region,id,uri,happiness,energy,danceability,loudness,speechiness,instrumentalness
187,Dime Quien Ama de Verdad,Beret,19793,12/8/2017,es,0GeUyDNaZe5LSvyaYS1boH,spotify:track:0GeUyDNaZe5LSvyaYS1boH,0.633,0.407,0.762,-9.658,0.425,0
169,Someone Like You,Adele,19791,9/1/2017,se,4kflIGfjdZJW4ot2ioixTB,spotify:track:4kflIGfjdZJW4ot2ioixTB,0.285,0.33,0.559,-8.251,0.0285,0
199,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,19791,11/24/2017,se,5bcTCxgc7xVfSaMV3RuVke,spotify:track:5bcTCxgc7xVfSaMV3RuVke,0.872,0.745,0.893,-3.105,0.0571,0
46,Believer,Imagine Dragons,19790,3/3/2017,nz,0CcQNd8CINkwQfe1RDtGV6,spotify:track:0CcQNd8CINkwQfe1RDtGV6,0.708,0.787,0.779,-4.305,0.108,0
134,Lush Life,Zara Larsson,19790,1/6/2017,ph,1rIKgCH4H52lrvDcz50hS8,spotify:track:1rIKgCH4H52lrvDcz50hS8,0.799,0.712,0.694,-3.923,0.046,0
172,Métele suave (feat. Fuego & La Materialista),Xriz,19789,5/12/2017,es,0EJzRsdEtZVP8LoXpxD4hm,spotify:track:0EJzRsdEtZVP8LoXpxD4hm,0.861,0.924,0.756,-2.432,0.0399,3.06E-05
100,Thunder,Imagine Dragons,19787,9/1/2017,cl,0tKcYR2II1VCQWT79i5NrW,spotify:track:0tKcYR2II1VCQWT79i5NrW,0.298,0.81,0.6,-4.749,0.0479,0.21
92,You Don't Know Me - Radio Edit,Jax Jones,19786,7/7/2017,no,00lNx0OcTJrS3MKHcB80HY,spotify:track:00lNx0OcTJrS3MKHcB80HY,0.682,0.669,0.876,-6.054,0.138,0
4,Despacito - Remix,Luis Fonsi,19785,5/12/2017,tw,5CtI0qwDJkDQGwXD1H1cLb,spotify:track:5CtI0qwDJkDQGwXD1H1cLb,0.813,0.815,0.694,-4.328,0.12,0
36,Rivers,Six60,19784,11/24/2017,nz,25qfmrJIuw6TAvXoZ0phzb,spotify:track:25qfmrJIuw6TAvXoZ0phzb,0.765,0.315,0.67,-9.724,0.05,0.00729
106,TG4M,Zara Larsson,19782,5/12/2017,no,4uoumbAMEMaKdtiv763jKz,spotify:track:4uoumbAMEMaKdtiv763jKz,0.589,0.648,0.667,-6.398,0.0626,1.52E-05
200,The Way I Are (Dance with Somebody) (feat. Lil Wayne) - Spotify Version,Bebe Rexha,19781,7/7/2017,ca,6Pw3Gvw4wNMZfTYZa6IQal,spotify:track:6Pw3Gvw4wNMZfTYZa6IQal,0.36,0.659,0.466,-6.077,0.115,0
197,Wasteman - Remix,Kempi,19781,4/14/2017,nl,65qP9nzgtuK73VfG2y2He7,spotify:track:65qP9nzgtuK73VfG2y2He7,0.895,0.694,0.559,-4.857,0.317,0
107,Chained To The Rhythm,Katy Perry,19780,5/12/2017,ar,5ndfVSDyPq90jaIUhNPeby,spotify:track:5ndfVSDyPq90jaIUhNPeby,0.47,0.793,0.446,-5.365,0.156,0
184,Bailarina,Maldita Nerea,19779,6/9/2017,es,4JF79kvgjBfb3hwWyeLyR8,spotify:track:4JF79kvgjBfb3hwWyeLyR8,0.57,0.889,0.551,-4.556,0.0368,0
45,Ya Me Enteré (feat. Nicky Jam) - Urban Version,Reik,19777,5/12/2017,pe,2SSYqDX8KTgy01NlqtUo0F,spotify:track:2SSYqDX8KTgy01NlqtUo0F,0.797,0.742,0.768,-6.308,0.0443,0
200,Danse avec moi,ROLLÀN,19776,10/27/2017,nl,4HV8GQOcHAIfWPJWVzgsqo,spotify:track:4HV8GQOcHAIfWPJWVzgsqo,0.483,0.891,0.641,-5.385,0.0441,0.000111
107,Friday Night,Vigiland,19773,5/12/2017,no,7HGHhLbAklVxGkYdwyeVML,spotify:track:7HGHhLbAklVxGkYdwyeVML,0.0825,0.673,0.718,-5.567,0.0366,1.16E-05
34,Safari,J Balvin,19772,5/12/2017,co,6rQSrBHf7HlZjtcMZ4S4bO,spotify:track:6rQSrBHf7HlZjtcMZ4S4bO,0.555,0.687,0.508,-4.361,0.326,3.41E-06
76,One Dance,Drake,19770,2/3/2017,no,1xznGGDReH1oQq0xzbwXa3,spotify:track:1xznGGDReH1oQq0xzbwXa3,0.371,0.619,0.791,-5.886,0.0532,0.00423
193,Too Good At Goodbyes - Acoustic,Sam Smith,19770,12/8/2017,ph,7ejps6ztLxyZD74tHrTdEj,spotify:track:7ejps6ztLxyZD74tHrTdEj,0.26,0.274,0.434,-9.297,0.0475,0
180,Uno X Uno,Manuel Carrasco,19767,7/7/2017,es,5UT0srpbH055rM8lyCNTJV,spotify:track:5UT0srpbH055rM8lyCNTJV,0.549,0.678,0.61,-6.879,0.0467,0
84,En Siste Gang,Staysman & Lazz,19766,3/3/2017,no,6tt3Na8Vjw1H2fCUcUivi5,spotify:track:6tt3Na8Vjw1H2fCUcUivi5,0.398,0.793,0.575,-5.585,0.0408,0
152,Gold Digger,Kanye West,19765,5/12/2017,au,5XJJdNPkwmbUwE79gv0NxK,spotify:track:5XJJdNPkwmbUwE79gv0NxK,0.625,0.696,0.646,-5.572,0.342,0
124,Cheap Thrills,Sia,19764,4/14/2017,es,27SdWb2rFzO6GWiYDBTD9j,spotify:track:27SdWb2rFzO6GWiYDBTD9j,0.732,0.698,0.628,-5.608,0.105,0.00143
115,No Me Olvides,La Beriso,19763,1/6/2017,ar,7LDUiraavMZ6mb8hK3mXkj,spotify:track:7LDUiraavMZ6mb8hK3mXkj,0.328,0.767,0.402,-3.683,0.041,0
115,Esa Boquita,J Alvarez,19761,7/7/2017,ar,3tWeAH4IYIrxV2jrUk9Ab3,spotify:track:3tWeAH4IYIrxV2jrUk9Ab3,0.949,0.751,0.724,-3.473,0.09,0
185,No Vacancy (with Sebastián Yatra),OneRepublic,19761,6/9/2017,es,3Gqj86AgnD8EiIOFIGLubs,spotify:track:3Gqj86AgnD8EiIOFIGLubs,0.59,0.763,0.688,-3.732,0.0444,0
65,Congratulations,Post Malone,19759,5/12/2017,dk,3a1lNhkSLSkpJE4MSHpDu9,spotify:track:3a1lNhkSLSkpJE4MSHpDu9,0.492,0.804,0.63,-4.183,0.0363,0
32,That's What I Like,Bruno Mars,19759,7/7/2017,nz,0KKkJNfGyhkQ5aFogxQAPU,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,0.86,0.56,0.853,-4.961,0.0406,0
153,In the Name of Love,Martin Garrix,19757,5/12/2017,au,04DwTuZ2VBdJCCC5TROn7L,spotify:track:04DwTuZ2VBdJCCC5TROn7L,0.196,0.485,0.49,-6.237,0.0406,0
157,Turnen (feat. Jairzinho & Kevin) - FISSA anthem,Sevn Alias,19756,3/3/2017,nl,0362SHfDTYXjWFVa8PPY7I,spotify:track:0362SHfDTYXjWFVa8PPY7I,0.593,0.745,0.88,-5.605,0.25,3.86E-06
198,Don't Tell Ma,Peg Parnevik,19756,6/9/2017,se,2mSjhD5X0iFqtzPLTGUHim,spotify:track:2mSjhD5X0iFqtzPLTGUHim,0.55,0.804,0.647,-5.815,0.0658,0
190,Fix You,Coldplay,19756,7/7/2017,se,7LVHVU3tWfcxj5aiPFEW4Q,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q,0.123,0.418,0.209,-8.74,0.0338,0.00195
